乱|755|riot, war, disorder, disturb|755|ラン、ロン|みだ.れる、みだ.る、みだ.す、みだ、おさ.める、わた.る|7|舌: tongue; reed; clapper<br>乙: the latter; duplicate; strange; witty; fishhook radical (no. 5)|riot|76
乳|1288|milk, breasts|1289|ニュウ|ちち、ち|8|孚: sincere; nourish; encase<br>乙: the latter; duplicate; strange; witty; fishhook radical (no. 5)|milk|786
乾|1452|drought, dry, dessicate, drink up, heaven, emperor|1453|カン、ケン|かわ.く、かわ.かす、ほ.す、ひ.る、いぬい|11|十: ten<br>早: early; fast<br>乞: beg; invite; ask|drought|502
亀|1352|tortoise, turtle|1353|キ、キュウ、キン|かめ|11|勹: wrapping enclosure; wrapping radical (no. 20)<br>日: day; sun; Japan; counter for days<br>日: day; sun; Japan; counter for days|tortoise|573
了|792|complete, finish|792|リョウ||2|亅: feathered stick; barb radical (no. 6)|complete|101
予|180|beforehand, previous, myself, I|180|ヨ、シャ|あらかじ.め|4|マ: None<br>了: complete; finish|beforehand|1719
争|271|contend, dispute, argue|271|ソウ|あらそ.う、いか.でか|6|勹: wrapping enclosure; wrapping radical (no. 20)<br>彑: pig's head radical variant (no. 58)<br>亅: feathered stick; barb radical (no. 6)|contend|1238
事|18|matter, thing, fact, business, reason, possibly|18|ジ、ズ|こと、つか.う、つか.える|8|口: mouth<br>彑: pig's head radical variant (no. 58)<br>亅: feathered stick; barb radical (no. 6)|matter|1240
二|9|two, two radical (no. 7)|9|ニ、ジ|ふた、ふた.つ、ふたたび|2|二: two, two radical (no. 7)|two|2
云|2409|say|9999|ウン|い.う、ここに|4|二: two; two radical (no.2)<br>厶: I; myself; katakana mu radical (no. 28)|quote|2241
互|914|mutually, reciprocally, together|914|ゴ|たが.い、かたみ.に|4|二: two; two radical (no.2)<br>彑: pig's head radical variant (no. 58)|mutually|819
五|31|five|31|ゴ|いつ、いつ.つ|4|二: two; two radical (no.2)|five|5
井|339|well, well crib, town, community|339|セイ、ショウ|い|4|二: two; two radical (no.2)<br>廾: twenty; 20; twenty or letter H radical (no. 55)|well|1946
亘|1724|span, range, extend over|1728|コウ、カン、セン|わた.る、もと.める|6|二: two; two radical (no.2)<br>旦: daybreak; dawn; morning|span|32
些|2410|a little bit, sometimes|9999|サ、シャ|ち.と、ち.っと、いささか|8|此: this; current; next; coming; last; past<br>二: two; two radical (no.2)|whit|2203
亜|1507|Asia, rank next, come after, -ous|1509|ア|つ.ぐ|7|二: two; two radical (no.2)<br>口: mouth|Asia|1950
亡|661|deceased, the late, dying, perish|661|ボウ、モウ|な.い、な.き-、ほろ.びる、ほろ.ぶ、ほろ.ぼす|3|亠: kettle lid radical (no. 8)<br>匚: box-on-side enclosure radical (no. 22)|deceased|524
交|178|mingle, mixing, association, coming & going|178|コウ|まじ.わる、まじ.える、ま.じる、まじ.る、ま.ざる、ま.ぜる、-か.う、か.わす、かわ.す、こもごも|6|亠: kettle lid radical (no. 8)<br>父: father|mingle|1368
亥|2411|sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac|9999|ガイ、カイ|い|6|亠: kettle lid radical (no. 8)<br>人: person|sign of the hog|1637
享|1886|enjoy, receive, undergo, answer (phone), take, get, catch|1893|キョウ、コウ|う.ける|8|亠: kettle lid radical (no. 8)<br>口: mouth<br>子: child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac|receive|330
京|74|capital, 10**16|74|キョウ、ケイ、キン|みやこ|8|亠: kettle lid radical (no. 8)<br>口: mouth<br>小: little; small|capital|334
亭|1623|pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name|1627|テイ、チン||9|高: tall; high; expensive<br>高: tall; high; expensive<br>冖: wa-shaped crown radical (no. 14)<br>丁: street; ward; town; counter for guns, tools, leaves or cakes of something; even number; 4th calendar sign|pavilion|333
亮|1815|clear, help|1821|リョウ|あきらか|9|亠: kettle lid radical (no. 8)<br>口: mouth<br>冖: wa-shaped crown radical (no. 14)<br>八: eight; eight radical (no. 12)|translucent|2928
人|5|person|5|ジン、ニン|ひと、-り、-と|2|人: human, human radical (no. 9)|person|1023
什|2412|utensil, thing, ten|9999|ジュウ、シュウ||4|人: person<br>十: ten|X|2973
仁|1331|humanity, virtue, benevolence, charity, man, kernel|1332|ジン、ニ、ニン||4|人: person<br>二: two; two radical (no.2)|humanity|1063
仄|2413|be seen dimly, suggest, intimate, faint, stupid, hint|9999|ソク|ほの.か、ほの-、ほの.めかす、ほの.めく、かたむ.く|4|厂: wild goose; trailing cliff radical (no. 27)<br>人: person|insinuate|2276
仇|2269|foe, enemy, revenge, grudge, feud|2322|キュウ、グ|あだ、あた、かたき、つれあい|4|人: person<br>九: nine|foe|2250
今|49|now|49|コン、キン|いま|4|人: person<br>一: one; one radical (no.1)|now|1711
介|617|jammed in, shellfish, mediate, concern oneself with|617|カイ||4|人: person<br>丿: katakana no radical (no. 4)<br>丨: number one; line; rod radical (no. 2)|jammed in|265
仏|819|Buddha, the dead, France|819|ブツ、フツ|ほとけ|4|人: person<br>厶: I; myself; katakana mu radical (no. 28)|Buddha|1037
仔|2414|offspring (animal), detailed, fine|9999|シ|こ、た.える|5|人: person<br>子: child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac|animal offspring|2249
仕|439|attend, doing, official, serve|439|シ、ジ|つか.える|5|人: person<br>士: gentleman; samurai; samurai radical (no. 33)|attend|1033
他|543|other, another, the others|543|タ|ほか|5|人: person<br>也: to be (classical)|other|1034
付|322|adhere, attach, refer to, append|322|フ|つ.ける、-つ.ける、-づ.ける、つ.け、つ.け-、-つ.け、-づ.け、-づけ、つ.く、-づ.く、つ.き、-つ.き、-つき、-づ.き、-づき|5|人: person<br>寸: measurement; foot/10|adhere|1075
仙|1157|hermit, wizard, cent|1157|セン、セント||5|人: person<br>山: mountain|hermit|1061
代|66|substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee|66|ダイ、タイ|か.わる、かわ.る、かわ.り、か.わり、-がわ.り、-が.わり、か.える、よ、しろ|5|人: person<br>弋: piling; ceremony radical (no. 56)|substitute|1080
令|804|orders, laws, command, decree, good|804|レイ||5|人: person<br>一: one; one radical (no.1)<br>マ: None|orders|1503
以|126|by means of, because, in view of, compared with|126|イ|もっ.て|5|丶: dot; tick or dot radical (no. 3)<br>人: person|by means of|1105
